id,tamanio,tipo,maxOcupantes,informacion,resevable,categoria,porcentajeOcupacion,planta,asignadoA
CRE.1200.00.040,150,aula,121,AULA_A0.1,true,aula,100,0,EINA
CRE.1200.00.050,150,aula,121,AULA_A.02,true,aula,100,0,EINA
CRE.1200.00.060,119,aula,80,AULA,true,aula,90,0,EINA
CRE.1200.00.070,119,aula,80,AULA_A.04,true,aula,90,0,EINA
CRE.1200.00.080,119,aula,80,AULA,true,aula,90,0,EINA
CRE.1200.00.090,119,aula,80,AULA_A.06,true,aula,90,0,EINA
CRE.1200.00.100,118,aula,80,AULA_A.07,true,aula,100,0,EINA
CRE.1200.00.150,15,despacho,1,ALMACEN,true,despacho,100,0,INFORMATICA
CRE.1200.00.160,15,despacho,1,DESPACHO,true,despacho,100,0,INFORMATICA
CRE.1200.00.170,15,despacho,2,DESPACHO,true,despacho,100,0,INFORMATICA
CRE.1200.00.175,14,despacho,2,DESPACHO,true,despacho,100,0,INGENIERIA DE SISTEMAS
CRE.1200.00.180,103,laboratorio,46,LABORATORIO L 0.01,true,salacomun,100,0,EINA
CRE.1200.00.190,51,laboratorio,30,LABORATORIO L 0.02,true,salacomun,100,0,EINA
CRE.1200.00.230,102,laboratorio,46,LABORATORIO L 0.03,true,salacomun,90,0,EINA
CRE.1200.00.240,104,laboratorio,46,LABORATORIO L 0.04,true,salacomun,90,0,EINA
CRE.1200.00.250,157,laboratorio,49,LABORATORIO L 0.05,true,salacomun,100,0,EINA
CRE.1200.00.280,158,laboratorio,2,LABORATORIO L 0.06,true,laboratorio,100,0,EINA
CRE.1200.00.310,15,despacho,2,DESPACHO 0.21,true,despacho,100,0,INGENIERIA DE SISTEMAS
CRE.1200.00.320,15,despacho,2,DESPACHO 0.20,true,despacho,100,0,INFORMATICA
CRE.1200.00.330,15,despacho,2,DESPACHO 0.19,true,despacho,100,0,INGENIERIA DE SISTEMAS
CRE.1200.00.340,15,despacho,2,DESPACHO 0.18,true,despacho,100,0,INGENIERIA DE SISTEMAS
CRE.1200.00.370,15,despacho,2,DESPACHO 0.17,true,despacho,100,0,INFORMATICA
CRE.1200.00.380,15,despacho,2,DESPACHO 0.16,true,despacho,100,0,INFORMATICA
CRE.1200.00.390,15,despacho,2,DESPACHO 0.15,true,despacho,100,0,INGENIERIA DE SISTEMAS
CRE.1200.00.400,15,despacho,2,DESPACHO 0.14,true,despacho,100,0,INFORMATICA
CRE.1200.00.410,15,despacho,2,DESPACHO 0.13,true,despacho,100,0,INGENIERIA DE SISTEMAS
CRE.1200.00.420,15,despacho,2,DESPACHO 0.12,true,despacho,100,0,INFORMATICA
CRE.1200.00.430,15,despacho,2,DESPACHO 0.11,true,despacho,100,0,INFORMATICA
CRE.1200.00.440,15,despacho,2,DESPACHO 0.10,true,despacho,100,0,INGENIERIA DE SISTEMAS
CRE.1200.00.450,15,despacho,2,DESPACHO 0.09,true,despacho,100,0,INFORMATICA
CRE.1200.00.460,15,despacho,2,DESPACHO 0.08,true,despacho,100,0,INGENIERIA DE SISTEMAS
CRE.1200.00.470,15,despacho,2,DESPACHO 0.07,true,despacho,100,0,INFORMATICA
CRE.1200.00.480,15,despacho,2,DESPACHO 0.06,true,despacho,100,0,INFORMATICA
CRE.1200.00.490,23,despacho,2,DESPACHO 0.05,true,despacho,100,0,INFORMATICA
CRE.1200.01.030,119,aula,80,AULA A.11,true,aula,100,1,EINA
CRE.1200.01.040,119,aula,80,AULA A.12,true,aula,100,1,EINA
CRE.1200.01.050,119,aula,80,AULA A.13,true,aula,100,1,EINA
CRE.1200.01.060,119,aula,80,AULA A.14,true,aula,100,1,EINA
CRE.1200.01.070,119,aula,80,AULA A.15,true,aula,100,1,EINA
CRE.1200.01.110,31,despacho,6,DESPACHO,true,despacho,100,1,INGENIERIA DE SISTEMAS
CRE.1200.01.120,30,salacomun,14,SALA DE JUNTAS BIBLIOTECA,true,salacomun,100,1,EINA
CRE.1200.01.130,51,seminario,50,SEMINARIO ,true,seminario,100,1,EINA
CRE.1200.01.160,34,despacho,3,SECRETARIA,true,despacho,100,1,INGENIERIA DE SISTEMAS
CRE.1200.01.170,34,despacho,6,DIRECTOR ,true,despacho,100,1,INGENIERIA DE SISTEMAS
CRE.1200.01.200,102,laboratorio,21,LABORATORIO BECARIOS,true,despacho,100,1,INFORMATICA
CRE.1200.01.210,103,laboratorio,37,LABORATORIO  L1.02,true,salacomun,100,1,EINA
CRE.1200.01.220,52,laboratorio,27,LABORATORIO  L1.03A,true,laboratorio,100,1,EINA
CRE.1200.01.221,52,laboratorio,15,LABORATORIO  L1.03B,true,laboratorio,100,1,EINA
CRE.1200.01.230,25,laboratorio,2,LABORATORIO  L1.05,true,laboratorio,100,1,EINA
CRE.1200.01.240,25,despacho,2,DESPACHO TALLER  L1.05,true,laboratorio,90,1,EINA
CRE.1200.01.260,50,laboratorio,12,LABORATORIO 1.06,true,laboratorio,90,1,EINA
CRE.1200.01.270,103,laboratorio,12,LABORATORIO ,true,laboratorio,100,1,EINA
CRE.1200.01.280,15,despacho,2,DESPACHO 1.19,true,despacho,100,1,INGENIERIA DE SISTEMAS
CRE.1200.01.290,15,despacho,2,DESPACHO 1.18,true,despacho,100,1,INGENIERIA DE SISTEMAS
CRE.1200.01.300,15,despacho,2,DESPACHO 1.17,true,despacho,100,1,INFORMATICA
CRE.1200.01.310,15,despacho,2,DESPACHO 1.16,true,despacho,100,1,INGENIERIA DE SISTEMAS
CRE.1200.01.320,15,despacho,2,DESPACHO 1.15,true,despacho,100,1,INGENIERIA DE SISTEMAS
CRE.1200.01.330,15,despacho,2,DESPACHO 1.14,true,despacho,100,1,INFORMATICA
CRE.1200.01.360,15,despacho,1,DESPACHO 1.13,true,despacho,100,1,INFORMATICA
CRE.1200.01.370,15,despacho,1,DESPACHO 1.12,true,despacho,100,1,INFORMATICA
CRE.1200.01.380,15,despacho,1,DESPACHO 1.11,true,despacho,100,1,INFORMATICA
CRE.1200.01.390,15,despacho,1,DESPACHO 1.10,true,despacho,100,1,INFORMATICA
CRE.1200.01.400,15,despacho,1,DESPACHO 1.09,true,despacho,100,1,INFORMATICA
CRE.1200.01.410,15,despacho,1,DESPACHO 1.08,true,despacho,100,1,INFORMATICA
CRE.1200.01.420,15,despacho,2,DESPACHO 1.07,true,despacho,100,1,INFORMATICA
CRE.1200.01.430,15,despacho,2,DESPACHO 1.06,true,despacho,100,1,INFORMATICA
CRE.1200.01.440,15,despacho,2,DESPACHO 1.05,true,despacho,100,1,INFORMATICA
CRE.1200.01.450,15,despacho,2,DESPACHO 1.04,true,despacho,100,1,INGENIERIA DE SISTEMAS
CRE.1200.01.460,15,despacho,1,DESPACHO 1.03,true,despacho,100,1,INFORMATICA
CRE.1200.01.470,15,despacho,2,DESPACHO 1.02,true,despacho,100,1,INFORMATICA
CRE.1200.01.480,23,despacho,1,DESPACHO 1.01,true,despacho,100,1,INFORMATICA
CRE.1200.01.520,93,salacomun,41,SALA INFORMATICA A.3,true,salacomun,100,1,EINA
CRE.1200.01.530,95,salacomun,41,SALA INFORMATICA A.2,true,salacomun,100,1,EINA
CRE.1200.01.540,62,salacomun,15,SALA INFORMATICA A.1,true,salacomun,100,1,EINA
CRE.1200.01.570,20,despacho,5,IEEE,true,despacho,100,1,INFORMATICA
